Date,AnalyzerSN,TestName,SampleClass,SampleType,VR1,BarcodeR1,VR2,BarcodeR2,CalibControlName,CalibControlLotNumber,SampleVolume,PackISE_SN,RefElectrode,NaElectrode,KElectrode,ClElectrode,LiElectrode,IsFactoryTest
2024-07-31 15:55:46,834001902,PHOSPHORUS,BLANK,PLM,210,50811082654696054516_BC,90,50822082654696087569_BC,,	,3,	,,,,,,True
2024-07-31 15:55:55,834001902,PHOSPHORUS,BLANK,PLM,210,50811082654696054516_BC,90,50822082654696087569_BC,,	,3,	,,,,,,True
2024-07-31 15:56:04,834001902,PHOSPHORUS,BLANK,PLM,210,50811082654696054516_BC,90,50822082654696087569_BC,,	,3,	,,,,,,True
2024-07-31 15:56:13,834001902,GLUCOSE,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-07-31 15:56:22,834001902,AST-GOT,BLANK,PLM,160,53111122453563089458_BC,40,53122122453563070191_BC,,	,16.5,	,,,,,,True
2024-07-31 15:56:31,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-07-31 15:56:40,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-07-31 15:56:49,834001902,UREA-BUN-UV,BLANK,PLM,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-07-31 15:56:58,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-07-31 15:57:07,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-07-31 15:57:16,834001902,CHOLESTEROL,BLANK,PLM,300,,0,,,	,3,	,,,,,,True
2024-07-31 15:57:25,834001902,PHOSPHORUS,CALIB,SER,210,50811082654696054516_BC,90,50822082654696087569_BC,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-07-31 15:57:34,834001902,GLUCOSE,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-07-31 15:57:43,834001902,AST-GOT,CALIB,SER,160,53111122453563089458_BC,40,53122122453563070191_BC,CALIBRADOR PRUEB,	079PA,16.5,	,,,,,,True
2024-07-31 15:57:52,834001902,UREA-BUN-UV,CALIB,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,CALIBRADOR PRUEB,	079PA,2,	,,,,,,True
2024-07-31 15:58:01,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-07-31 15:58:10,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-07-31 15:58:19,834001902,CHOLESTEROL,CALIB,SER,300,,0,,CALIBRADOR PRUEB,	079PA,3,	,,,,,,True
2024-07-31 15:58:28,834001902,PHOSPHORUS,CTRL,SER,210,50811082654696054516_BC,90,50822082654696087569_BC,CONTROL 1 106PC,	106PC,3,	,,,,,,True
2024-07-31 15:58:37,834001902,GLUCOSE,CTRL,SER,300,,0,,CONTROL 1 106PC,	106PC,3,	,,,,,,True
2024-07-31 15:58:46,834001902,AST-GOT,CTRL,SER,160,53111122453563089458_BC,40,53122122453563070191_BC,CONTROL 1 106PC,	106PC,16.5,	,,,,,,True
2024-07-31 15:58:55,834001902,UREA-BUN-UV,CTRL,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,CONTROL 1 106PC,	106PC,2,	,,,,,,True
2024-07-31 15:59:04,834001902,CHOLESTEROL,CTRL,SER,300,,0,,CONTROL 1 106PC,	106PC,3,	,,,,,,True
2024-07-31 15:59:13,834001902,PHOSPHORUS,PATIENT,SER,210,50811082654696054516_BC,90,50822082654696087569_BC,,	,3,	,,,,,,True
2024-07-31 15:59:22,834001902,GLUCOSE,PATIENT,SER,300,,0,,,	,3,	,,,,,,True
2024-07-31 15:59:31,834001902,AST-GOT,PATIENT,SER,160,53111122453563089458_BC,40,53122122453563070191_BC,,	,16.5,	,,,,,,True
2024-07-31 15:59:40,834001902,UREA-BUN-UV,PATIENT,SER,240,51611122453135014252_BC,60,51622122453135045236_BC,,	,2,	,,,,,,True
2024-07-31 15:59:49,834001902,CHOLESTEROL,PATIENT,SER,300,,0,,,	,3,	,,,,,,True
