source_file,vigencia_desde,categoria,subcategoria,codigo,descripcion,presentacion,precio_mxn,precio_tipo,contado_mxn,meses_12_mxn,meses_18_mxn,notas
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11046,FRUCTOSAMINE 2x50 mL,,10906.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11500,PROTEIN (TOTAL) 2x250 mL,,933.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11501,PROTEIN (URINE) 4x50 mL,,4109.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11502,CREATININE 4x50 mL,,1000.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11503,GLUCOSE 200 mL,,727.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11504,GLUCOSE 500 mL,,1156.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11505,CHOLESTEROL 200 mL,,1576.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11506,CHOLESTEROL 500 mL,,2804.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11507,CALCIUM-MTB 2x250 mL,,1143.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11508,PHOSPHORUS 170 mL,,1529.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11509,IRON-FERROZINE 4x50 mL,,3119.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11515,BILIRUBIN (TOTAL&DIRECT) 2x50mL+2x50mL,,1134.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11516,UREA/BUN - UV 4x50 mL,,2176.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11517,UREA/BUN - UV 2x250 mL,,5123.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11520,gamma-GLUTAMYL TRANSFERASE 200 mL,,3720.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11521,URIC ACID 200 mL,,1499.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11522,URIC ACID 500 mL,,2841.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11523,CHOLESTEROL HDL 2x50 mL + 2x50 mL,,1306.0,lista,,,,Más IVA
PRECIOS 2026.pdf,2026-02-01,Química clínica manual,,11527,CALCIUM-MTB 4x50 mL,,904.0,lista,,,,Más IVA
