periodo,mes_planeacion,tipo_de_servicio,plataforma,localidad,ns,observaciones,servicio,acompanante,dias
12 AL 16 ENERO,ENERO,INSTALACION,BA200,"LAB REFERENCIA, TLALPAN",832001963,INSTALACION Y CAPACITACION,RICARDO/GUILLERMO,,
12 AL 16 ENERO,ENERO,PREVENTIVO,A15,"ZACOALCO, JALISCO",83105C0238,PREVENTIVO,ALFREDO,,
19 AL 23 ENERO,ENERO,PREVENTIVO,BA200,LA PIEDAD,832001912,2 GARANTIA/ DESTILADOR,ALFREDO,NA,LUN-MAR
19 AL 23 ENERO,ENERO,PREVENTIVO,A15,SAN FELIPE GUANAJUATO,831055992,PAGADO,ALFREDO,NA,
19 AL 23 ENERO,ENERO,PREVENTIVO,A15,ESCARCEGA,831057445,COMODATO,FRANCISCO,JONATAN,
19 AL 23 ENERO,ENERO,PREVENTIVO,A15,VILLAHERMOSA,831057683,GARANTIA 2 MYM,FRANCISCO,JONATAN,
19 AL 23 ENERO,ENERO,PREVENTIVO,BA200,ESCÁRCEGA,832000606,COMODATO,FRANCISCO,JONATAN,
19 AL 23 ENERO,ENERO,PREVENTIVO,BA400,VILLAHERMOSA,834001825,COMODATO,FRANCISCO,JONATAN,
19 AL 23 ENERO,ENERO,INSTALACION,A15,SAN LUIS POTOSI,NA,INSTALACION Y CAPACITACION,IVONNE,,
19 AL 23 ENERO,ENERO,INSTALACION,A15,MONTERREY,8310507941,INSTALACION Y CAPACITACION,RICARDO,,
19 AL 23 ENERO,ENERO,RECAPACITACION,,HOSPITAL OBREGON,,RECAPACITACION,OLIVIA,,
26 AL 30 ENERO,ENERO,PREVENTIVO,BA200,CAAPS Creel,832001930,RUTA JUNTO CON CENTRUM,CENTRUM LOS REALIZARA,CENTRUM,
26 AL 30 ENERO,ENERO,PREVENTIVO,A15,Centro Salud Gral Trías,831057677,RUTA JUNTO CON CENTRUM,CENTRUM LOS REALIZARA,CENTRUM,
26 AL 30 ENERO,ENERO,PREVENTIVO,A15,H. Comunitario Gmz Farias,831057682,RUTA JUNTO CON CENTRUM,CENTRUM LOS REALIZARA,CENTRUM,
26 AL 30 ENERO,ENERO,PREVENTIVO,A15,Centro Salud Témoris,831057680,RUTA JUNTO CON CENTRUM,CENTRUM LOS REALIZARA,CENTRUM,
26 AL 30 ENERO,ENERO,PREVENTIVO,BA400,H. Comunitario Nvo Casas Grandes,834002697,RUTA JUNTO CON CENTRUM,CENTRUM LOS REALIZARA,CENTRUM,
